user_id,age,skin_type
user_338,40,Normal
user_339,34,Combination
user_340,26,Combination
user_341,27,Sensitive
user_342,23,Combination
user_343,39,Sensitive
user_344,35,Dry
user_345,32,Combination
user_346,27,Combination
user_347,32,Oily
user_348,25,Oily
user_349,19,Normal
user_350,22,Dry
user_351,27,Combination
user_352,32,Combination
user_353,27,Normal
user_354,24,Normal
user_355,27,Oily
user_356,27,Sensitive
user_357,37,Combination
user_358,35,Normal
user_359,28,Sensitive
user_360,32,Dry
user_361,37,Normal
user_362,35,Normal
user_363,20,Oily
user_364,20,Oily
user_365,40,Dry
user_366,32,Oily
user_367,40,Dry
user_368,20,Dry
user_369,40,Dry
user_370,37,Normal
user_371,22,Combination
user_372,38,Normal
user_373,33,Oily
user_374,34,Combination
user_375,39,Oily
user_376,34,Normal
user_377,27,Oily
user_378,35,Dry
user_379,30,Combination
user_380,28,Normal
user_381,33,Sensitive
user_382,38,Dry
user_383,25,Dry
user_384,25,Oily
user_385,29,Combination
user_386,22,Oily
user_387,35,Oily
user_388,24,Normal
user_389,37,Sensitive
user_390,25,Sensitive
user_391,39,Oily
user_392,40,Sensitive
user_393,33,Oily
user_394,38,Dry
user_395,38,Oily
user_396,31,Combination
user_397,24,Combination
user_398,23,Sensitive
user_399,32,Combination
user_400,32,Normal
user_401,25,Normal
user_402,32,Sensitive
user_403,40,Sensitive
user_404,24,Sensitive
user_405,38,Sensitive
user_406,39,Oily
user_407,35,Oily
user_408,21,Normal
user_409,20,Sensitive
user_410,39,Sensitive
user_411,19,Normal
user_412,20,Sensitive
user_413,19,Combination
user_414,18,Oily
user_415,35,Oily
user_416,29,Dry
user_417,25,Normal
user_418,33,Combination
user_419,36,Normal
user_420,37,Combination
user_421,40,Oily
user_422,40,Oily
user_423,33,Normal
user_424,21,Dry
user_425,39,Combination
user_426,29,Oily
user_427,25,Dry
user_428,35,Sensitive
user_429,20,Oily
user_430,23,Dry
user_431,35,Sensitive
user_432,18,Combination
user_433,29,Oily
user_434,36,Normal
user_435,25,Dry
user_436,21,Sensitive
user_437,37,Normal
user_438,26,Oily
user_439,25,Normal
user_440,36,Sensitive
user_441,25,Dry
user_442,24,Normal
user_443,21,Dry
user_444,32,Sensitive
user_445,40,Normal
user_446,22,Dry
user_447,37,Sensitive
user_448,30,Oily
user_449,31,Normal
user_450,35,Combination
user_451,37,Dry
user_452,37,Combination
user_453,37,Normal
user_454,24,Normal
user_455,39,Sensitive
user_456,32,Combination
user_457,22,Dry
user_458,28,Normal
user_459,19,Sensitive
user_460,19,Sensitive
user_461,30,Sensitive
user_462,36,Combination
user_463,26,Dry
user_464,39,Dry
user_465,40,Sensitive
user_466,20,Combination
user_467,39,Combination
user_468,30,Normal
user_469,20,Combination
user_470,34,Combination
user_471,30,Combination
user_472,23,Sensitive
user_473,39,Oily
user_474,39,Dry
user_475,20,Dry
user_476,38,Sensitive
user_477,22,Normal
user_478,22,Combination
user_479,35,Oily
user_480,22,Dry
user_481,33,Combination
user_482,21,Normal
user_483,39,Oily
user_484,27,Oily
user_485,35,Combination
user_486,34,Normal
user_487,21,Normal
user_488,23,Combination
user_489,30,Oily
user_490,25,Normal
user_491,20,Sensitive
user_492,32,Dry
user_493,36,Oily
user_494,38,Dry
user_495,24,Sensitive
user_496,39,Dry
user_497,23,Sensitive
user_498,30,Sensitive
user_499,32,Oily
user_500,25,Normal
user_501,25,Combination
user_502,24,Dry
user_503,39,Oily
user_504,25,Sensitive
user_505,27,Combination
user_506,25,Oily
user_507,26,Normal
user_508,30,Oily
user_509,40,Combination
user_510,26,Normal
user_511,31,Dry
user_512,34,Normal
user_513,33,Dry
user_514,30,Sensitive
user_515,37,Normal
user_516,31,Combination
user_517,24,Oily
user_518,20,Oily
user_519,38,Dry
user_520,29,Dry
user_521,22,Sensitive
user_522,19,Normal
user_523,19,Combination
user_524,36,Normal
user_525,26,Dry
user_526,21,Dry
user_527,37,Dry
user_528,32,Combination
user_529,40,Normal
user_530,31,Oily
user_531,29,Sensitive
user_532,33,Combination
user_533,25,Dry
user_534,19,Oily
user_535,40,Combination
user_536,28,Oily
user_537,35,Sensitive
user_538,32,Dry
user_539,32,Normal
user_540,35,Dry
user_541,30,Dry
user_542,37,Combination
user_543,18,Sensitive
user_544,25,Sensitive
user_545,24,Normal
user_546,38,Sensitive
user_547,33,Normal
user_548,21,Dry
user_549,38,Sensitive
user_550,27,Oily
user_551,19,Dry
user_552,35,Normal
user_553,26,Oily
user_554,22,Sensitive
user_555,30,Combination
user_556,33,Combination
user_557,27,Oily
user_558,36,Dry
user_559,40,Normal
user_560,37,Dry
user_561,22,Oily
user_562,34,Sensitive
user_563,39,Dry
user_564,30,Normal
user_565,36,Normal
user_566,20,Normal
user_567,31,Normal
user_568,36,Oily
user_569,34,Oily
user_570,23,Dry
user_571,20,Dry
user_572,20,Oily
user_573,20,Normal
user_574,34,Dry
user_575,40,Normal
user_576,33,Oily
user_577,24,Normal
user_578,22,Normal
user_579,18,Sensitive
user_580,38,Sensitive
user_581,22,Normal
user_582,20,Oily
user_583,19,Normal
user_584,40,Combination
user_585,28,Oily
user_586,33,Normal
user_587,22,Normal
user_588,23,Combination
user_589,39,Oily
user_590,36,Combination
user_591,20,Dry
user_592,21,Dry
user_593,26,Oily
user_594,24,Dry
user_595,38,Normal
user_596,40,Combination
user_597,20,Sensitive
user_598,28,Combination
user_599,27,Sensitive
user_600,36,Dry
user_601,39,Sensitive
user_602,28,Dry
user_603,23,Combination
user_604,32,Sensitive
user_605,21,Normal
user_606,25,Sensitive
user_607,26,Oily
user_608,39,Sensitive
user_609,19,Dry
user_610,34,Oily
user_611,25,Dry
user_612,38,Oily
user_613,40,Dry
user_614,22,Sensitive
user_615,37,Normal
user_616,34,Sensitive
user_617,18,Normal
user_618,35,Combination
user_619,22,Normal
user_620,20,Combination
user_621,27,Dry
user_622,28,Oily
user_623,30,Sensitive
user_624,37,Normal
user_625,22,Combination
user_626,38,Dry
user_627,38,Oily
user_628,29,Sensitive
user_629,35,Sensitive
user_630,23,Normal
user_631,32,Normal
user_632,30,Normal
user_633,39,Combination
user_634,23,Dry
user_635,23,Sensitive
user_636,27,Oily
user_637,22,Sensitive
user_638,37,Oily
user_639,19,Dry
user_640,30,Dry
user_641,35,Sensitive
user_642,32,Dry
user_643,23,Combination
user_644,28,Combination
user_645,23,Sensitive
user_646,19,Oily
user_647,22,Normal
user_648,23,Sensitive
user_649,29,Oily
user_650,25,Oily
user_651,24,Dry
user_652,31,Sensitive
user_653,31,Normal
user_654,33,Normal
user_655,23,Dry
user_656,19,Oily
user_657,26,Normal
user_658,36,Dry
user_659,39,Dry
user_660,20,Oily
user_661,19,Normal
user_662,22,Normal
user_663,22,Normal
user_664,25,Sensitive
user_665,39,Dry
user_666,37,Dry
user_667,34,Normal
user_668,29,Combination
user_669,26,Sensitive
user_670,21,Sensitive
user_671,39,Sensitive
user_672,34,Dry
user_673,30,Sensitive
user_674,38,Normal
user_675,21,Dry
user_676,36,Dry
user_677,34,Oily
user_678,21,Combination
user_679,38,Sensitive
user_680,31,Sensitive
user_681,34,Normal
user_682,40,Combination
user_683,29,Oily
user_684,21,Sensitive
user_685,36,Sensitive
user_686,30,Combination
user_687,24,Combination
user_688,24,Combination
user_689,24,Sensitive
user_690,40,Combination
user_691,25,Sensitive
user_692,24,Sensitive
user_693,40,Combination
user_694,33,Oily
user_695,37,Oily
user_696,27,Oily
user_697,23,Sensitive
user_698,22,Sensitive
user_699,34,Normal
user_700,23,Sensitive
user_701,33,Dry
user_702,30,Normal
user_703,23,Oily
user_704,23,Dry
user_705,22,Combination
user_706,40,Oily
user_707,24,Oily
user_708,29,Sensitive
user_709,36,Normal
user_710,26,Oily
user_711,30,Sensitive
user_712,24,Dry
user_713,26,Combination
user_714,38,Dry
user_715,40,Oily
user_716,35,Combination
user_717,30,Dry
user_718,26,Normal
user_719,36,Normal
user_720,34,Dry
user_721,31,Combination
user_722,28,Dry
user_723,30,Normal
user_724,31,Oily
user_725,22,Dry
user_726,38,Normal
user_727,39,Dry
user_728,22,Normal
user_729,32,Normal
user_730,22,Dry
user_731,24,Sensitive
user_732,24,Normal
user_733,18,Sensitive
user_734,33,Dry
user_735,23,Dry
user_736,20,Sensitive
user_737,24,Oily
user_738,22,Dry
user_739,39,Sensitive
user_740,29,Normal
user_741,38,Combination
user_742,19,Normal
user_743,40,Oily
user_744,20,Combination
user_745,28,Oily
user_746,21,Oily
user_747,25,Dry
user_748,20,Combination
user_749,31,Normal
user_750,31,Combination
user_751,25,Oily
user_752,30,Sensitive
user_753,29,Dry
user_754,35,Combination
user_755,29,Oily
user_756,28,Combination
user_757,38,Dry
user_758,25,Oily
user_759,24,Combination
user_760,40,Normal
user_761,24,Normal
user_762,38,Normal
user_763,35,Combination
user_764,27,Oily
user_765,18,Sensitive
user_766,34,Oily
user_767,26,Sensitive
user_768,26,Normal
user_769,29,Dry
user_770,40,Oily
user_771,18,Combination
user_772,36,Combination
user_773,36,Combination
user_774,35,Combination
user_775,33,Sensitive
user_776,29,Dry
user_777,38,Normal
user_778,21,Normal
user_779,39,Oily
user_780,25,Sensitive
user_781,24,Oily
user_782,40,Combination
user_783,22,Oily
user_784,40,Dry
user_785,38,Sensitive
user_786,18,Combination
user_787,34,Combination
user_788,31,Dry
user_789,31,Oily
user_790,36,Normal
user_791,30,Combination
user_792,23,Dry
user_793,20,Oily
user_794,29,Sensitive
user_795,32,Normal
user_796,20,Sensitive
user_797,26,Dry
user_798,29,Oily
user_799,40,Dry
user_800,25,Combination
user_801,34,Combination
user_802,32,Combination
user_803,28,Sensitive
user_804,40,Oily
user_805,34,Combination
user_806,36,Dry
user_807,40,Oily
user_808,36,Dry
user_809,29,Dry
user_810,24,Oily
user_811,29,Dry
user_812,40,Combination
user_813,36,Dry
user_814,40,Dry
user_815,36,Sensitive
user_816,33,Combination
user_817,39,Normal
user_818,23,Combination
user_819,18,Normal
user_820,26,Normal
user_821,39,Dry
user_822,33,Normal
user_823,32,Normal
user_824,29,Combination
user_825,34,Oily
user_826,26,Normal
user_827,22,Combination
user_828,38,Sensitive
user_829,34,Dry
user_830,22,Oily
user_831,25,Dry
user_832,29,Sensitive
user_833,24,Oily
user_834,28,Normal
user_835,22,Dry
user_836,25,Oily
user_837,38,Oily
user_838,31,Oily
user_839,31,Normal
user_840,28,Dry
user_841,33,Normal
user_842,32,Sensitive
user_843,24,Combination
user_844,34,Dry
user_845,18,Combination
user_846,38,Sensitive
user_847,38,Normal
user_848,27,Dry
user_849,37,Combination
user_850,33,Sensitive
user_851,30,Sensitive
user_852,28,Normal
user_853,34,Oily
user_854,24,Normal
user_855,19,Sensitive
user_856,26,Combination
user_857,24,Normal
user_858,39,Oily
user_859,39,Dry
user_860,30,Sensitive
user_861,35,Sensitive
user_862,26,Dry
user_863,40,Normal
user_864,37,Normal
user_865,33,Sensitive
user_866,26,Dry
user_867,32,Oily
user_868,38,Dry
user_869,40,Sensitive
user_870,39,Oily
user_871,28,Combination
user_872,25,Oily
user_873,20,Sensitive
user_874,29,Dry
user_875,21,Combination
user_876,29,Dry
user_877,37,Dry
user_878,24,Sensitive
user_879,38,Combination
user_880,18,Oily
user_881,33,Normal
user_882,21,Dry
user_883,22,Normal
user_884,18,Normal
user_885,26,Normal
user_886,22,Normal
user_887,37,Normal
user_888,20,Combination
user_889,19,Sensitive
user_890,33,Normal
user_891,35,Sensitive
user_892,39,Normal
user_893,20,Combination
user_894,24,Oily
user_895,39,Oily
user_896,23,Sensitive
user_897,24,Oily
user_898,20,Combination
user_899,38,Oily
user_900,38,Combination
user_901,27,Normal
user_902,25,Dry
user_903,24,Dry
user_904,23,Dry
user_905,36,Sensitive
user_906,19,Dry
user_907,32,Sensitive
user_908,24,Normal
user_909,24,Sensitive
user_910,35,Sensitive
user_911,32,Dry
user_912,23,Sensitive
user_913,23,Normal
user_914,28,Oily
user_915,24,Sensitive
user_916,30,Dry
user_917,27,Normal
user_918,38,Dry
user_919,27,Dry
user_920,18,Oily
user_921,33,Combination
user_922,24,Oily
user_923,40,Dry
user_924,31,Oily
user_925,24,Oily
user_926,18,Oily
user_927,25,Dry
user_928,21,Dry
user_929,25,Dry
user_930,30,Dry
user_931,21,Sensitive
user_932,28,Normal
user_933,21,Oily
user_934,31,Oily
user_935,35,Combination
user_936,26,Sensitive
user_937,31,Sensitive
user_938,34,Oily
user_939,31,Normal
user_940,29,Normal
user_941,32,Sensitive
user_942,32,Oily
user_943,40,Dry
user_944,35,Combination
user_945,23,Sensitive
user_946,24,Dry
user_947,38,Sensitive
user_948,22,Oily
user_949,35,Dry
user_950,31,Dry
user_951,19,Normal
user_952,39,Oily
user_953,33,Oily
user_954,21,Combination
user_955,19,Sensitive
user_956,34,Combination
user_957,35,Combination
user_958,27,Normal
user_959,38,Oily
user_960,18,Combination
user_961,29,Dry
user_962,23,Normal
user_963,24,Normal
user_964,25,Sensitive
user_965,23,Oily
user_966,38,Sensitive
user_967,18,Normal
user_968,23,Dry
user_969,19,Normal
user_970,35,Oily
user_971,24,Dry
user_972,21,Combination
user_973,31,Combination
user_974,26,Dry
user_975,32,Sensitive
user_976,38,Oily
user_977,23,Normal
user_978,36,Combination
user_979,24,Combination
user_980,26,Normal
user_981,33,Normal
user_982,25,Dry
user_983,34,Oily
user_984,30,Normal
user_985,31,Combination
user_986,32,Normal
user_987,19,Normal
user_988,37,Sensitive
user_989,26,Oily
user_990,32,Dry
user_991,32,Combination
user_992,39,Dry
user_993,22,Sensitive
user_994,28,Normal
user_995,33,Sensitive
user_996,32,Oily
user_997,39,Oily
user_998,20,Sensitive
user_999,24,Oily
